Name,Price,Condition,Shipping
"HP Elitebook 830 G6, i5-8365U, 1.6GHz,16GB Memory,256GB NVMe,13.3"" Full HD, W11",EUR 189.99,Pre-Owned,+EUR 15.00 shipping
FAST CHEAP CORE i5 LAPTOP 1TB SSD 32GB RAM WARRANTY FREE WINDOWS 11 UPGRADE,EUR 154.90 to EUR 357.47,Good - Refurbished,+EUR 53.43 shipping estimate
CHEAP FAST Laptop DELL Quad Core 2.6GHZ Windows 10 SSD 4K HDMI WIFI WEBCAM,EUR 107.23,Good - Refurbished,+EUR 23.15 shipping estimate
"Dell 15.6"" NVIDIA Gaming Laptop - Intel Quad Core i7 64GB RAM 4TB SSD Windows 11",EUR 412.74 to EUR 816.36,Very Good - Refurbished,+EUR 61.09 shipping
"Dell Latitude 7400 Laptop PC Core i5 14"" FHD 16GB RAM 256GB SSD NVMe Windows 11",EUR 163.57,Very Good - Refurbished,+EUR 40.82 shipping
"LAPTOP  15.6"" WINDOWS 10 CORE i3 8GB RAM 500GB SSD HDMI WIFI",EUR 119.15 to EUR 214.48,Good - Refurbished,+EUR 26.23 shipping estimate
"Lenovo ThinkPad X1 Carbon 14"" Laptop Core i7 16GB RAM 256GB SSD Windows 11 Pro",EUR 275.81,Very Good - Refurbished,+EUR 44.46 shipping
Lenovo MIIX 320 -10ICR 2in1 Tablet Intel Atom x5 Z8350 - 4GB RAM  64GB (GRADE B),EUR 47.65,Good - Refurbished,+EUR 21.10 shipping estimate
"Sleek Gaming Laptop Fast RYZEN 5 32GB RAM 1TB SSD 13.3"" FHD Win11 Vega 8 GPU PC",EUR 274.01 to EUR 411.64,Very Good - Refurbished,+EUR 33.38 shipping estimate
"SGIN 15.6"""" Laptop 4GB DDR4 Memory 512GB SSD Notebook USB3.2 Mini HDMI Sliver",EUR 189.00,Brand New,+EUR 8.00 shipping
Cheap Fast Windows 10 Laptop Intel Core i3 - i5 - i7 8GB Ram 250GB SSD WIFI Lot,EUR 110.81,Good - Refurbished,+EUR 27.75 shipping estimate
"Dell Latitude 14"" FHD Core i5 Laptop PC Computer Windows 11 16GB RAM 512GB SSD",EUR 191.33,Very Good - Refurbished,+EUR 41.72 shipping
SUPER FAST DELL HP WINDOW 10 LAPTOP CORE i5 16GB RAM 240GB SSD WEBCAM HDMI Wi-Fi,EUR 166.81,Good - Refurbished,+EUR 29.68 shipping estimate
"Fast Gaming Laptop i7 Quad Up to 4.20GHz 16GB RAM 512GB SSD 14"" FHD Win11 Pro",EUR 374.11,Very Good - Refurbished,+EUR 36.83 shipping estimate
CHEAP FAST Top Brand Windows 10/11 Laptop i3/i5 32GB Ram 256GB SSD/ 1TB SSD WIFI,EUR 107.23 to EUR 393.22,Good - Refurbished,+EUR 25.81 shipping estimate
Dell Latitude Windows 11 5470/7470 Core i5-6200U 32GB Ram 1TB SSD,EUR 189.47 to EUR 237.13,Excellent - Refurbished,+EUR 31.08 shipping estimate
ACER TRAVELMATE P645-M INTEL CORE I5-4210U 4GB 256GB SSD WINDOWS 11 NOTEBOOK,EUR 114.00,Good - Refurbished,+EUR 30.00 shipping
"BLUE LENOVO T470 FAST LAPTOP CORE i5 16GB RAM 512GB SSD WINDOWS 10/11 14"" HD",EUR 184.69 to EUR 351.51,Very Good - Refurbished,+EUR 28.90 shipping estimate
"HP 840 G5 14"" I5 7300U 2.6GHz RAM 16GB SSD 256GB WIN 10P Laptop PC",EUR 160.00,Good - Refurbished,Shipping not specified
HP 840 G3 I5-6300U 2.40GHZ RAM 8GB SSD 256GB WIN 10P LAPTOP NOTEBOOK,EUR 120.00,Good - Refurbished,Shipping not specified
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook R7-7435HS 16GB RAM 512GB SSD RTX 4070",EUR 847.33,Brand New,+EUR 72.93 shipping
Lenovo ThinkPad X13 Yoga i5-10310U 512GB NVMe 16GB FullHD LTE Memory QWERTY B-Ware,EUR 299.00,Good - Refurbished,+EUR 20.99 shipping
Lenovo ThinkPad X250 Laptop Intel i7-5600U 8GB 256GB SSD B-Ware,EUR 124.99,Good - Refurbished,+EUR 24.90 shipping
CHEAP FAST WINDOWS 11 LAPTOP INTEL CORE i5 32 RAM 1TB SSD WITH 1 YEAR WARRANTY,EUR 137.02 to EUR 178.73,Pre-Owned,+EUR 28.66 shipping estimate
HP Pro X2 612 G2 i5-7th Gen 8GB RAM 256GB SSD Windows 11 Pro Grade A,EUR 226.39,Very Good - Refurbished,+EUR 31.73 shipping estimate
HP ProBook 430 G6 i3-8145u 8GB 256GB SSD 1366x768 BT Wi-Fi Laptop Windows 11 Pro,EUR 169.90,Very Good - Refurbished,+EUR 20.00 shipping
SUPER FAST WINDOWS 11 LAPTOP CORE I5 8GB RAM 500GB HDD SSD FREE GIFT WARRANTY,EUR 123.92,Good - Refurbished,+EUR 33.88 shipping estimate
